S.No.,Department,Scheme Code,Scheme Name,Assistance,Eligibility,Scope,Funding,Contact Point
30,RURAL DEVELOPMENT,RD-DAY-NRLM,Deendayal Antyodaya Yojana – National Rural Livelihoods Mission (DAY-NRLM) / UPSRLM,"(1) Overall mission goal: Reduce rural poverty by enabling poor households to access gainful self-employment and skilled wage employment, resulting in sustainable and diversified livelihoods. 
(2) Institution-building of the poor: Organise poor (especially rural women) into Self-Help Groups (SHGs), Village Organisations (VOs), and Cluster Level Federations (CLFs) as strong community institutions. 
(3) Financial inclusion & livelihood promotion: Ensure access to credit, insurance, remittances, pensions, and promote farm, allied and non-farm enterprises (micro-enterprises, producer groups, FPOs etc.). 
(4) Convergence & entitlements: Enable SHGs/CLFs to access schemes like MGNREGS, PMAY-G, pensions, PDS, PM Ujjwala, PM-Kisan, PMFME etc. through community-led facilitation. ","(1) Primary target group: Rural poor households, identified through participatory identification of poor (PIP), SECC data and local processes. Women from these households are mobilised into SHGs. 
(2) Inclusion priorities: SC/ST, minorities, persons with disabilities, single women, landless labour, small & marginal farmers and other vulnerable categories. 
(3) Group-based eligibility: SHGs are typically 10–15 women (or 5–20 in special cases); eligibility for revolving fund, community investment fund, interest subvention is linked to group grading, regular savings, meetings, and internal lending practices. ",CENTRAL,"60% GOI, 40% UPGOV","Mission Director, UPSRLM, Chief Development Officer (CDO), District Mission Unit (DMU), Block Mission Management Units (BMMUs)"
31,RURAL DEVELOPMENT,RD-MAY-G-UP,Mukhyamantri Awas Yojana (Gramin),"(1) Provide pucca houses to rural houseless families who are not covered under PMAY-G or who have lost homes due to disasters or extreme economic vulnerability.
(2) Focus particularly on SC/ST, tribal, extremely poor and disaster-affected households in rural areas of UP. ","(1) Beneficiaries: houseless rural citizens of Uttar Pradesh identified by district administration and Gram Sabha. 
(2) Eligibility criteria:
(3) Resident of rural UP.
(4) EWS/BPL or extremely poor family.
(5) Houseless or living in kutcha, dilapidated house; or affected by natural disasters (flood, fire etc.).
(6) Priority for SC/ST, tribal and vulnerable families identified by DC/SDM/BDO & Gram Sabha.",STATE,100% UPGOV,"Nodal Department, District Nodal Officer"
32,RURAL DEVELOPMENT,RD-MSGVY-UP,"Mukhyamantri Samagra Gram Vikas Yojana, Uttar Pradesh","(1) Saturation of 24+ schemes in selected villages: Coordinated implementation of around two dozen State and Central flagship schemes (roads, housing, sanitation, drinking water, health, education, livelihoods) to ensure holistic development of selected “Samagra” villages.
(2) Infrastructure grants for gap filling: State funds provide flexible grants to fill critical infrastructure gaps not fully covered under routine departmental schemes (e.g., internal village roads, drains, community buildings, cremation grounds).
(3) Special focus on border / tribal / martyr villages: Additional support for border villages, tribal-dominated habitations and “Shaheed Gram” (villages of martyrs), including memorial gates/statues and basic facility upgradation.
(4) Convergence-based funding: Encourages pooling of departmental budgets + MLA funds for integrated development of the same village rather than scattered works.","(1) Beneficiaries: all citizens residing in notified Samagra Gram villages selected by the State Government.
(2) Village selection criteria:
(3) Border villages.
(4) Tribal/marginalised community dominated.
(5) Low availability of basic infrastructure and services.",STATE,100% UPGOV,"Chief Development Officer (CDO), Block Development Officer (BDO)"
33,RURAL DEVELOPMENT,RD-ASES-UP,Ambedkar Special Employment Scheme / Baba Saheb Ambedkar Rozgar Protsahan Yojana,"(1) Capital subsidy for self-employment projects
(2) SC/ST/disabled beneficiaries: Subsidy of 35% of project cost, up to ₹70,000.
(3) Other eligible beneficiaries: Subsidy of 25% of project cost, up to ₹50,000.
(4) Credit linkage with banks: Balance project cost financed through bank loan, with the scheme providing grant/subsidy component, thereby improving credit-worthiness of poor entrepreneurs.
(5) Wide range of eligible economic activities: Assistance can be used for small shops, service enterprises, agro-processing, livestock-related ventures, crafts and trades, as approved by district-level committee and lending bank.
(6) Supportive reservation for vulnerable sections: Explicit reservation of assistance for SC/ST and disabled persons, ensuring that the most disadvantaged get priority in employment-oriented subsidies.","(1) Resident of Uttar Pradesh.
(2) Household annual income ≤ ₹2 lakh from all sources.
(3) Age 18–65 years.
(4) Preference for SC/ST, disabled persons; detailed norms notified in scheme GOs.",STATE,100% UPGOV,"Chief Development Officer (CDO), Block Development Officer (BDO)"
34,RAJYA KRISHI UTPADAN MANDI PARISHAD,RKUMP-MKUY-UP,Mukhyamantri Krishak Upahar Yojana,"(1) Farmers get a gift coupon for every ₹5,000 worth of notified crops sold.
(2) Price like mixer grinder, power sprayer, tv, pumping set etc are drawn in quarterly draws. 
(3) Bumper Draws for big rewards are drawn twice-a-year.
(4) Prizes are purchased as per the defined guidelines and distributed only after checking the farmer's ID and address. All winners are listed permanently in records. ","(1) UP residents farming their own land or legally leased land, selling self-grown crops at Market yards/ Market area/ Government purchasing centres.
(2) Must show proof like Kisan Bahi (farmer book) or other records to confirm you're a real farmer.
(3) Sell at least ₹5,000 of specified crops at ONE Market yard/area per quarter OR per half-year.
(4) Excludes: Non-farmers, those without docs, sales below limit, or outside approved areas.",STATE,100% UPGOV,"Mandi Samiti office/Secretary, Divisional Deputy Director "
35,RAJYA KRISHI UTPADAN MANDI PARISHAD,RKUMP-MKCY-UP,Mukhyamantri Krishak Chhatravritti Yojana,"(1) Scholarships are fixed slots per college with ₹3,000 per month / student.
(2) Agriculture Universities/Institutes ('A' category): 25 UG agriculture, 6 UG home science, 10 PG agriculture, 4 PG home science.
(3) Agriculture Colleges: 10 UG agriculture, 5 PG agriculture.
(4) Prizes cover studies in related fields; paid after selection and sent from Mandi Parishad HQ.","(1) Must be a residence of Uttar Pradesh.
(2) Son/daughter (or fully dependent) of a farmer (land in their name on application date per land records) or farm laborer.
(3) Merit-based: For UG, min 70% in UP Board Intermediate or 85% in other boards; for PG, min 70% in bachelor's.
(4) Excludes: Non-UP residents, non-farmer families, low marks, or those failing exams.",STATE,100% UPGOV,"Principal of agriculture college, Divisional Deputy Director "
36,RAJYA KRISHI UTPADAN MANDI PARISHAD,RKUMP-MKDSY-UP,Mukhyamantri Krishak Durghatna Sahayata Yojana,"Cash amounts based on injury:
(1) Death: ₹3,00,000 (50% immediate cheque ₹1.50 lakh + 50% 3-year bank FD).
(2) Both legs/arms/eyes or any two: ₹75,000.
(3) One leg/arm/eye: ₹40,000.
(4) Four fingers one hand: ₹30,000; three fingers: ₹25,000; thumb: ₹20,000; two fingers: ₹15,000; one finger: ₹5,000.
(5) Paid by cheque/bank draft after verification.","(1) UP residents (or outsiders living 2+ years, verified by Tehsildar) aged 18-70.
(2) Farmers, farm labourers, weighman, mandi licensee or mandi porters doing ONLY farm work (not contractors/business owners).
(3) Accident in UP during farm tasks like tools/pesticides, tractor threshing, well digging, animal attacks/snake bites.
(4) Excludes: Self-harm, suicide, drunk accidents, riots/wars/floods, natural death, criminals.",STATE,100% UPGOV,"Mandi Samiti office/Secretary, Divisional Deputy Director "
37,RAJYA KRISHI UTPADAN MANDI PARISHAD,RKUMP-MKKADSY-UP,Mukhyamantri Khet-Khalian Agnikand Durghatna Sahayata Yojana,"Cash based on damaged area (max or actual loss, whichever lower):
(1) Up to 1 hectare (2.5 acres): ₹30,000 max.
(2) 1-2 hectares (2.5-5 acres): ₹40,000 max.
(3) Over 2 hectares (5 acres): ₹50,000 max.
For group fires over ₹2 lakh total, District Magistrate decides. Paid by cheque after verification.","(1) UP farmers with crops in notified mandi areas.
(2) Actual owner of stored crops (disputes settled by Mandi Secretary or court).
(3) Damage from external fire/lightning during farming—not riots, orders, or intentional burning.
(4) Excludes: Non-owners, disputed cases pending court, non-accidental fires.",STATE,100% UPGOV,"Mandi Samiti office/Secretary, Divisional Deputy Director "
38,RAJYA KRISHI UTPADAN MANDI PARISHAD,RKUMP-MKUMSV-UP,Mukhyamantri Krishi Utpadan Mandi Samiti Vyapari evam Arhati Durghatna Sahayata Yojana,"(1) Fixed ₹3,00,000 to legal heirs of deceased.
(2) Payment: 50% (₹1.5 lakh) immediate by crossed cheque/bank draft + 50% (₹1.5 lakh) as 3-year bank FD. No other injuries covered except for death.","(1) Licensed trader/arhati from UP notified mandi/sub-mandi.
(2) Death from external violent accident (e.g., vehicle crush, animal/snake bite) DURING crop trading inside mandi premises.
(3) UP resident; heirs apply with proofs.
(4) Excludes: Self-harm, suicide, drunk/riots/war/floods/natural death, violence/crime.",STATE,100% UPGOV,"Mandi Samiti office/Secretary, Divisional Deputy Director "
39,RAJYA KRISHI UTPADAN MANDI PARISHAD,RKUMP-USADSY-UP,Mukhyamantri Mandi Sthal/Upmandi Sthal Agnikand Durghatna Sahayata Yojana,"Actual loss or ₹2,00,000 max (whichever lower) per trader/arhati. Paid by crossed cheque/bank draft after damage assessment. Group fires handled by committee.","(1) Licensed traders/arhatis with Mandi Samiti-allotted shop/space in mandi/sub-mandi.
(2) Fire from external visible causes/lightning during operations.
(3) UP notified mandi areas only.
(4) Excludes: Non-licensed, disputed allotments (court decides), intentional/riot fires.",STATE,100% UPGOV,Mandi Samiti office/Secretary
40,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT ,NABARD-MIF,Micro Irrigation Fund (MIF) with NABARD,"Facilitate States to mobilise additional resources (soft loans from NABARD) to: 
(1) Expand micro-irrigation coverage beyond PDMC budget.
(2) Take up special/innovative projects (cluster-based drip/sprinkler, solar-pumped systems).
(3) Improve water use efficiency and support “Per Drop More Crop” outcomes.","(1) Primary beneficiaries: Farmers adopting drip/sprinkler systems, FPOs, cooperatives, clusters, and command areas.
(2) State Govt (UP) borrows from NABARD under MIF, then routes support to farmers through PDMC or state schemes (e.g., higher subsidy percentage, cluster projects).",CENTRAL,"GOI, UPGOV","District Horticulture Officer, District Development Manager (DDM)"
41,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT ,NABARD-WDF,Watershed Development Fund,"Promote participatory watershed development to:
(1) Restore degraded lands, increase soil & water conservation.
(2) Enhance agricultural productivity and livelihood security in rain-fed & drought-prone areas.
(3) Demonstrate scalable models for convergence with MGNREGS, PMKSY, RKVY etc. ","Priority: rain-fed blocks, tribal and backward areas; small & marginal farmers, landless (through NRM-linked wage and livelihood activities). ",CENTRAL,"GOI, UPGOV",District Development Manager (DDM)
42,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT ,NABARD-TDF,Tribal Development Fund (TDF / TRIBES),"(1) 100% grant support for project implementation, capacity building, natural resource management structures, and institutional development.
(2) Beneficiary contribution is mandated (cash/in-kind/labour) to create village corpus funds to ensure long-term sustainability.
(3) NABARD releases funds in phases (typically over 6–7 years) based on progress.
(4) Horticulture Wadi plantation package on 0.5–2 acres per tribal family (mango, cashew, guava, aonla, lemon etc.)
(5) Agri-based livelihood support: intercrops, vegetables, millets, small livestock.
(6) Soil and Water Conservation (SWC): contour trenches, bunds, check dams, pit digging, land levelling.
(7) Irrigation assets: farm ponds, lift irrigation, micro-irrigation, community wells.
(8) Plant protection & input support: fertiliser, manure, saplings, fencing.
(9) Institution building: formation and strengthening of Tribal Producer Groups, SHGs, village committees.
(10) Skill development: training in horticulture, plant protection, nursery raising, NTFP management.
(11) Market linkage: aggregation support, tie-up with mandis, local processors, branding.
(12) Financial literacy & credit linkage with banks.
(13) Migration reduction strategy, improved nutrition and women’s participation.","Tribal households in:
(1) Scheduled Tribe areas notified by the State,
(2) Districts/blocks with clustered tribal populations,
(3) Economically vulnerable families with 1–2 acres of cultivable land.
Eligible implementing agencies:
(1) NGOs with established field presence in tribal regions.
(2) State Tribal Development Department / Tribal welfare societies.
(3) Producer Organisations / Cooperatives with tribal membership.
(4) Institutions with demonstrated capacity in watershed / horticulture / rural livelihoods.",CENTRAL,"GOI, UPGOV",District Development Manager (DDM)
43,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT ,NABARD-FSPF,FARM SECTOR PROMOTION FUND ,"(1) 100% grant assistance from NABARD for pilot projects, demonstrations, capacity building, and institutional development.
(2) Funding is project-based and time-bound (generally 1–3 years).
(3) Assistance per project: ₹10 lakhs – ₹50 lakhs (varies by scope, innovation content, number of beneficiaries, and region).
(4) Type of project covered under FSPF: 
(5) Demonstration units (IFS, natural farming, organic farming), supply of critical inputs for demo purposes, small tools for training (e.g., pruning tools, soil test kits), niche interventions such as beekeeping / mushroom / vermicompost, pilot processing / value-addition facilities (micro-scale)
(6) Farmer training modules, extension and advisory services, market linkage facilitation, capacity building for FPO governance, developing value chains and business plans, strengthening community institutions (FIGs, PGs), and behaviour change communication (climate-smart practices)
(7) Pilot interventions in natural farming, organic farming, climate-smart farming, high-value horticulture, livestock, fisheries, NTFP, value chain interventions.
(8) Type of projects excluded under FSPF:
(9) Large infrastructure creation (beyond pilot/demo scale)
(10) Recurring administrative expenses of implementing agencies
(11) Individual subsidies or input distribution without a training component
(12) Loans or credit guarantee","Eligible beneficiaries:
Small and marginal farmers, tenant farmers/sharecroppers (through Producer Groups/FPOs), women farmers and SHG members, tribal and vulnerable groups in farm sector, farmer field schools, FIGs, PGs, producer collectives, and farmers in climate-vulnerable districts
Eligible implementing agencies:
(1) NGOs with proven experience in agriculture/livelihoods
(2) Farmer Producer Organisations (FPOs) / Producer Companies
(3) Cooperatives / Farmer Collectives
(4) Research institutes, KVKs, agricultural universities
(5) State line departments (Agriculture, Horticulture, Animal Husbandry, etc.)",CENTRAL,"GOI, UPGOV","District Development Manager (DDM), UPSRLM DMMU"
44,NATIONAL BANK FOR AGRICULTURE AND RURAL DEVELOPMENT ,NABARD-PODF,Producers Organisation Development Fund (PODF),"(1) For new/young FPOs: ₹10–25 lakh (grant + BDS + training),
(a) Mobilisation & Institution Building is supported through a grant of ₹1–3 lakh, which is used for awareness creation, member mobilisation, legal registration, framing of bye-laws, and conducting share capital drives.
(b) Capacity Building of Members receives a grant of ₹2–5 lakh to support training of the Board of Directors, record-keeping practices, governance strengthening, exposure visits, and Annual General Meeting (AGM) support.
(c) Business Development Services (BDS) are provided through a grant of ₹3–8 lakh for activities such as preparation of business plans, branding and packaging design, obtaining certifications like FSSAI or organic certification, and establishing marketing tie-ups.
(d) Digital & MIS Systems are assisted with a grant of ₹1–2 lakh, which is utilized for purchasing computers, implementing accounting software such as Tally or ERP, and tools for GST compliance.
(e) Working Capital Support (Revolving Fund) is provided as a loan or grant (project-based) ranging from ₹5–20 lakh, mainly for aggregation, procurement, processing, and marketing activities, and is often the largest component of support.
(f) Primary Processing Infrastructure is supported through a loan along with small grant assistance amounting to ₹10–25 lakh, covering facilities such as cleaning, sorting, grading units, mini dal mills, oil expellers, packhouses, and ripening chambers.
(g) Storage & Logistics Support is provided as a loan of ₹5–15 lakh for infrastructure such as godowns, low-cost cold rooms, and small transport vehicles like tempos or pick-ups.
(h) Market Linkage & Branding Activities are funded through a grant of ₹2–6 lakh, which supports label design, packaging, participation in trade fairs, onboarding on e-commerce platforms, and Information, Education, and Communication (IEC) activities.
(i) Project Management & Monitoring receives a grant of ₹0.5–2 lakh for IEC activities, documentation, reporting, third-party audits, and overall evaluation.

(2) For established FPOs: ₹25–50 lakh (infra + working capital + digital systems),
(a) Infrastructure is supported under PODF with a grant ranging from ₹10–25 lakhs.
(b) Working Capital assistance is provided in the form of a loan amounting to ₹5–20 lakhs.
(c) Digital Systems are supported through a grant of ₹1–3 lakhs.

(3) Infrastructure Support,
(a) Mini Packhouse (sorting, grading table, and packing facilities) is eligible for an approved PODF amount of ₹5–10 lakhs.
(b) Cleaning & Grading Unit is supported with an approved PODF amount ranging from ₹5–8 lakhs.
(c) Mini Dal Mill / Flour Mill is eligible for financial assistance of ₹8–15 lakhs under PODF.
(d) Oil Expeller (small scale) can be supported with an approved PODF amount of ₹10–18 lakhs.
(e) Spice Grinding Unit is eligible for assistance ranging from ₹8–12 lakhs.
(f) Vegetable Collection Center can receive an approved PODF amount of ₹5–8 lakhs.
(g) Small Godown (capacity of 100–300 MT) is eligible for financial assistance of ₹6–12 lakhs.
(h) Low-Cost Cold Storage (pre-cooler or walk-in cold room) can be supported with an approved PODF amount of ₹12–20 lakhs.
(i) Transport Vehicle (Pickup/Tempo) is eligible for assistance ranging from ₹4–8 lakhs.
(j) Weighing Machine and Moisture Meter Set is eligible for an approved PODF amount of ₹0.5–1 lakh.

(4) Working Capital Support,
(a) Seasonal procurement of grains, pulses, and oilseeds is eligible for an approved amount ranging from ₹5–15 lakhs.
(b) Vegetable aggregation (weekly rotation) can be supported with an approved amount of ₹3–10 lakhs.
(c) Input business (fertiliser and seeds) is eligible for financial support of ₹5–8 lakhs.
(d) Raw material rotation for small processing units can receive an approved amount ranging from ₹10–20 lakhs.

(5) Digital & MIS Support,
(a) Computer, Printer, and UPS are eligible for an approved amount ranging from ₹0.6–1.2 lakhs.
(b) Tally ERP or similar accounting software can be supported with an approved amount of ₹20,000–50,000.
(c) FPO MIS / Inventory Management Application is eligible for financial assistance ranging from ₹30,000–1 lakh.
(d) Digital Weighing and Billing System (ePoS) can receive an approved amount of ₹50,000–1.5 lakhs.
(e) Website development with e-commerce integration is eligible for an approved amount ranging from ₹20,000–80,000.","(1) Eligible Producer Organisations:
(a) Farmer Producer Companies (under Companies Act)
(b) Cooperative Societies (including PACS with diversified operations)
(c) Mutually Aided Cooperative Societies (MACS)
(d) Federations of SHGs / Producer Groups
(e) Women-led and tribal-led FPOs
(f) Commodity-specific POs (dairy, fisheries, NTFP, vegetables, grains, pulses, spices)
(2) Eligible implementing agencies:
(3) PODF support may be routed through:
(a) NGOs/Professional agencies promoting FPOs
(b) Government departments
(c) CBO federations under NRLM
(d) FPO promoting agencies (FPO-PAs/CBBOs)",CENTRAL,"GOI, UPGOV","District Development Manager (DDM), UPSRLM DMMU"
45,COOPERATIVES,COOP-DS-NCDC,Dairy Sahakar (NCDC – Dairy Cooperatives),"(1) The scheme supports through term loans and subsidies to dairy cooperatives:
(a) Term loan up to 90% – 95% of the project cost
(b) Societies share 5% – 35% 
(c) Subsidies & subventions provided through convergence with relevant government schemes
(2) Dairy Sahakar supports end-to-end dairy infrastructure and systems through NCDC financing:
(a) Production & milk collection level
(b) Support for village-level milk collection centres, bulk milk coolers (BMCs), milk cans, weighing and quality-testing equipment (lactometers, analysers, chilling equipment).
(c) Assistance for milk route expansion – vehicles and logistics to collect milk from more villages, including remote pockets.
(d) Processing and value addition
(e) Modernisation and expansion of existing plants.
(f) Cattle feed plants, logistics (milk tankers, insulated vehicles).
(g) Quality testing labs, ICT and traceability systems.
(h) Branding, marketing & export readiness
(i) Assistance for packaging, branding, labelling and marketing campaigns, including brand creation for district / state federations.
(j) Cold-chain and distribution network: insulated vans, deep freezers, display coolers for retail points.
(k) Support to meet export standards, traceability, and certifications (FSSAI, ISO, HACCP) to access higher-value markets.
(l) Institutional strengthening and ESG components
(m) Support to introduce digital milk recording, farmer payment systems, ERP, and real-time quality tracking, reducing leakages and disputes.
(n) Emphasis on women participation, climate-resilient technologies (e.g., solar-powered chilling), and good governance.
(o) Scope for training and capacity building of board members, managers and technical staff via NCDC / NCCT.","(1) State Dairy Federations, District Dairy Unions, dairy cooperatives, multipurpose cooperatives with dairy by-laws. 
(2) Must have a viable dairy plan, adequate milk shed, governance and compliance with FSSAI & environmental norms. ",CENTRAL,100% GOI,"General Manager / CEO, District Milk Union (cooperative)"
46,COOPERATIVES,COOP-SDCFPO,Supporting Dairy Cooperatives & FPOs (SDCFPO),"(1) Soft working capital loans
(a) NDDB extends working capital loans to cooperatives / FPOs at concessional interest, with an interest subvention (e.g., 2%) supported by GoI under the scheme. 
(b) This is designed to help cooperatives manage cash flow during flush seasons when milk supply is high, but market prices may be low, and inventories build up.
(2) Ensuring timely farmer payment
(a) By improving liquidity, SDCFPO enables cooperatives to pay milk producers on time, even when the market is depressed.
(b) This stabilises producer confidence and prevents distress sale to private buyers at low prices.
(3) Buffer against market shocks
(a) Cooperatives can hold inventory (e.g., SMP, butter) longer and time their sales better, instead of desperate liquidation.
(b) Helps maintain consumer price stability and continuous supply of dairy products.
(4) Institutional support
(a) NDDB provides guidance on financial discipline, inventory management and market strategy, strengthening cooperative management capacities.","(1) State Dairy Cooperatives, District Unions, Dairy FPOs which:
(a) Procure milk from producers / SHGs / FPOs,
(b) Have a sound governance and audit
(c) Has agreement with NDDB for working capital support.",CENTRAL,100% GOI,"General Manager / CEO, District Milk Union (cooperative)"
47,COOPERATIVES,COOP-CPP,Computerisation of PACS Project (Ministry of Cooperation),"100% assistance for hardware, software, networking and training under the project (loan/subsidy mix at back-end via NCDC / NABARD/GoI)",All functional PACS / PACS-like societies (including some LAMPS / multi-purpose coops),CENTRAL,100% GOI,"General Manager / CEO, District Milk Union (cooperative)"
48,COOPERATIVES,COOP-SSSY-UP,Sahkar se Samriddhi Yojna,"(1) State budget allocations for:
(a) New PACS / MPACS infrastructure.
(b) Support for cooperative grain storage, fertiliser / seed outlets.
(c) Seed capital / share capital support for new cooperatives.
(2) Access to GoI schemes via cooperatives (PACS computerisation, PACS-CSC, Jan Aushadhi, LPG distributorship etc.)
(3) Capacity building, cooperative education and awareness, digital platforms for membership and service delivery.","(1) Existing and new PACS, multipurpose cooperatives, dairy and fisheries cooperatives, commodity cooperatives.
(2) Farmer members who enrol / take membership under membership drives (e.g., M-PACS Membership Mahabhiyan).",STATE,100% UPGOV,District Cooperative Officer / ARCS
49,COOPERATIVES,COOP-PACS-UP,Strengthening and Repair of Godowns of Primary Agricultural Credit Societies,"(1) Financial support is provided for civil repair and structural strengthening works, including:
(a) Structural strengthening of: Roof slabs, beams, columns and load-bearing elements
(b) Repair of: Cracks, damaged walls, flooring and plaster
(c) Leakage and dampness control: Waterproofing, drainage correction, rainwater protection
(d) Functional improvements: Doors, shutters, ventilation, safety grills
(e) Minor allied works necessary to restore the godown to safe, usable condition","(1) Primary Agricultural Credit Societies (PACS / B-PACS) having existing godown infrastructure with the eligibility conditions as outlined: 
(a) The godown must be owned or officially controlled by the PACS. It must also be structurally assessed as requiring repair or strengthening.
(b) PACS must have updated audit and statutory records and must prepare a formal resolution/proposal for repair work.
(c) Final selection is subject to District Level Committee approval, technical feasibility and priority norms.",STATE,100% UPGOV,Chief Development Officer (CDO) 
50,COOPERATIVES,COOP-B-PACS-UP,Installation of Solar Rooftop Plants on Government / Semi-Government / B-PACS Buildings,"(1) Design, supply, installation and commissioning of Grid-connected rooftop solar PV systems
(2) Electrical integration of Net-metering, safety systems, grid synchronization
(3) Equipment and works as per UPNEDA benchmark rates, government procurement norms (GeM / approved procedures)","(1) Eligible buildings: 
(a) Government and Semi-Government buildings
(b) B-PACS (Multi-Purpose PACS) buildings",STATE,100% UPGOV,Chief Development Officer (CDO) 
51,UTTAR PRADESH DIVERSIFIED AGRICULTURE SUPPORT PROJECT,UPDASP-CDP,Crop Diversification Programme (CDP) – Original Green Revolution States (Western U.P.),"(1) Cluster demonstrations on alternative crops to replace paddy (seed, inputs, mechanization site specific activities). Farmers buy the inputs and mechanization and DBT is transferred to farmers thereafter
(2) Assistance for farm mechanisation and site-specific activities (laser land levellers, rotavators, planters, threshers etc.)
(3) Farmer training, exposure visits and field days.","(1) Primary beneficiaries:
(a) Small and marginal farmers in identified Western U.P. project districts notified under CDP.
(b) Willingness to undertake approved crop diversification package in designated cluster for minimum period (normally 2–3 years).",CENTRAL,100% GOI,"Chief Development Officer (CDO), District Agriculture Officer (DAO)"
52,UTTAR PRADESH DIVERSIFIED AGRICULTURE SUPPORT PROJECT,UPDASP-CDP-RKVY,Crop Diversification Programme (CDP) – Tobacco Replacement districts (RKVY),"(1) Demonstrations of alternative cropping systems and package of practices replacing tobacco
(2) Seed / planting material and limited critical inputs for first 1–2 years.
(3) Farm mechanisation, water-saving technologies and post-harvest handling support.
(4) Capacity-building on alternative crops","(1) Farmers currently cultivating tobacco (or in recent years) in identified CDP tobacco districts.
(2) Willingness to permanently shift at least part of area to alternative crops.",CENTRAL,100% GOI,"Chief Development Officer (CDO), District Agriculture Officer (DAO)"
53,UTTAR PRADESH DIVERSIFIED AGRICULTURE SUPPORT PROJECT,UPDASP-EOFC-PKVY,Establishment of Organic Farm Clusters in Ganga Basin – PKVY (Namami Gange),"(1) Financial assistance up to ₹50,000 per hectare over 3 years per organic farming cluster, covering:
(a) Organic inputs (bio-fertilisers, bio-pesticides, compost units).
(b) PGS certification / internal control system.
(c) Capacity-building, exposure visits and demonstrations.
(d) Limited on-farm post-harvest infrastructure, branding and marketing support.
(2) Support for cluster formation of minimum 20 ha size
(3) Technical assistance on organic package of practices through KVKs / ATMA / UPDASP.","(1) Farmers located in notified Ganga basin districts / blocks included in Namami Gange component.
(2) Willingness to:
(a) Join organic cluster and follow prescribed organic practices for 3 years.
(b) Avoid use of synthetic fertilisers and pesticides in cluster fields.",CENTRAL,100% GOI,"Chief Development Officer (CDO), District Agriculture Officer (DAO)"
54,UTTAR PRADESH DIVERSIFIED AGRICULTURE SUPPORT PROJECT,UPDASP-FPOS,"Central Sector Scheme – Formation and Promotion of 10,000 Farmer Producer Organisations (FPOs)","(1) FPO formation & incubation support through CBBOs for 5 years (mobilisation, registration, business planning, governance training).
(2) Management cost support to CBBOs / IAs for each FPO for 5 years.
(3) Equity grant to FPOs (up to a specified per-member limit) to strengthen balance sheets.
(4) Credit guarantee cover for FPO loans from eligible lending institutions.
(5) Capacity building, market linkage facilitation and ICT support.","(1) FPOs formed as Producer Companies / Cooperatives / Producer Organisations under respective Acts with membership predominantly of small & marginal farmers. 
(2) Cluster-based commodity focus (single or multi-commodity).",CENTRAL,100% GOI,Chief Development Officer (CDO)
55,UTTAR PRADESH DIVERSIFIED AGRICULTURE SUPPORT PROJECT,UPDASP-PPPAVCD,Public–Private Partnership for Agriculture Value Chain Development Programme ,"(1) PPPAVCD organises and targets other scheme benefits into PPP clusters. The broad areas of the support extended under programme are outlined:
(a) Inputs & productivity support
(b) Quality seed / hybrids, minikits – via NFSM / RKVY / State seed schemes.
(c) Soil health, micronutrients, bio-fertilisers – via NMSA / SHC / PKVY.
(d) On-farm infrastructure & equipment
(e) Micro-irrigation and water-use efficiency – via PMKSY.
(f) Farm mechanisation (planters, harvesters, dryers) – via SMAM, RKVY, State mechanisation schemes.
(g) Post-harvest & value-chain infrastructure
(h) Godowns, pack-houses, cold rooms – via Agriculture Infrastructure Fund (AIF) and state warehouse schemes.
(i) Primary processing units and small agro-processing – via PMFME, MIDH, RKVY – marketing components.
(j) Financial support: Interest subvention, credit guarantees, blended finance – via AIF / NABARD / CGTMSE-linked products.
(k) Technology & agronomy support – private partner gives structured PoP, training, precision tools. 
(l) Market assurance – cluster-level buy-back contracts or procurement commitments (e.g. Ninjacart, distilleries). 
(m) Risk reduction – diversification, improved agronomy, offtake stability, plus insurance via PMFBY where applicable.","(1) Primary beneficiary: 
(a) Small and marginal farmers in PPPAVCD clusters (crop + geography defined in each project). 
(b) FPOs / FPGs / Cooperatives / SHG federations engaged as aggregation and implementation arms.
(2) Secondary beneficiary: 
(a) Private companies / start-ups / agribusinesses selected as PPP partners.
(b) MSMEs in the value chain (transporters, input dealers, processors).
(c) Financial institutions lending into the cluster, supported by interest subvention / guarantees via converged schemes like AIF.
(3) Farmer eligibility: 
(a) Farmer must be within the notified cluster villages/blocks of an approved PPPAVCD project.
(b) Preferably small/marginal, though larger farmers may be included to reach the 500–10,000 farmer envelope.
(c) Agree to:
(d) follow the package of practices laid out in the PPP (e.g. maize hybrid, fertigation regime),
(e) supply produce through FPO/cluster channels to the offtaker, and
(f) share basic data (area, yields, bank details) for DBT and monitoring.
(g) Aadhaar-linked bank account and KYC completed as per converged scheme rules.
(4) Private partner eligibility: 
(a) Registered company / LLP / eligible producer organisation with demonstrated value-chain experience.
(b) Strong balance sheet / solvency, proven offtake capacity (e.g. distillery, processor, retailer, e-commerce, logistics platform).
(c) Willingness to invest in on-ground systems, commit buy-back quantities, and share project-level data for central monitoring.",CENTRAL,100% GOI,Chief Development Officer (CDO)
